State,Frequency
UTTARAKHAND,2996
ODISHA,13489
MAHARASHTRA,50852
JHARKAND,6760
TELANGANA,7462
WEST BENGAL,5593
NAGALAND,33
CHHATTISGARH,4022
RAJASTHAN,62901
UTTAR PRADESH,149959
TAMILNADU,9521
DAMAN AND DIU,15
MADHYA PRADESH,69768
BIHAR,291218
ASSAM,2408
KARNATAKA,29106
KERALA,10367
HIMACHAL PRADESH,2790
GUJARAT,43042
HARYANA,24886
PUNJAB,10962
ANDHRA PRADESH,15238
JAMMU AND KASHMIR,2639
DELHI,2777
TRIPURA,74
PUDUCHERRY,43
MANIPUR,51
SIKKIM,21
MIZORAM,28
GOA,131
CHANDIGARH,34
MEGHALAYA,33
ARUNACHAL PRADESH,11
DADRA AND NAGAR HAVELI,14
A AND N ISLANDS,3
