State,Frequency
UTTARAKHAND,807
ODISHA,9811
MAHARASHTRA,12432
JHARKAND,954
TELANGANA,8262
WEST BENGAL,9589
NAGALAND,9
CHHATTISGARH,5750
RAJASTHAN,52841
UTTAR PRADESH,40571
TAMILNADU,39106
ARUNACHAL PRADESH,10
MADHYA PRADESH,21235
BIHAR,4370
ASSAM,1571
KARNATAKA,12311
KERALA,3505
HIMACHAL PRADESH,1396
GUJARAT,2127
HARYANA,14701
PUNJAB,34883
ANDHRA PRADESH,14319
JAMMU AND KASHMIR,2479
DELHI,1199
TRIPURA,273
PUDUCHERRY,285
MANIPUR,14
MEGHALAYA,8
CHANDIGARH,5
GOA,38
SIKKIM,6
A AND N ISLANDS,2
LAKSHADWEEP,3
