State,Frequency
UTTARAKHAND,4827
ODISHA,54325
MAHARASHTRA,93861
JHARKAND,12976
TELANGANA,41024
WEST BENGAL,55611
NAGALAND,38
CHHATTISGARH,26758
RAJASTHAN,134962
UTTAR PRADESH,174452
TAMILNADU,44550
ARUNACHAL PRADESH,34
MADHYA PRADESH,94186
BIHAR,37573
ASSAM,4436
KARNATAKA,27363
KERALA,7281
HIMACHAL PRADESH,24715
GUJARAT,80974
HARYANA,54690
PUNJAB,74244
ANDHRA PRADESH,41720
JAMMU AND KASHMIR,17482
DELHI,2018
TRIPURA,717
PUDUCHERRY,314
MANIPUR,153
SIKKIM,178
MIZORAM,10
CHANDIGARH,43
A AND N ISLANDS,13
MEGHALAYA,37
GOA,195
DAMAN AND DIU,6
DADRA AND NAGAR HAVELI,3
LAKSHADWEEP,4
