State,Frequency
UTTARAKHAND,9671
ODISHA,54680
MAHARASHTRA,255677
JHARKAND,6008
TELANGANA,40600
WEST BENGAL,64368
NAGALAND,323
CHHATTISGARH,18357
RAJASTHAN,367129
UTTAR PRADESH,579152
TAMILNADU,39232
ARUNACHAL PRADESH,32
MADHYA PRADESH,197833
BIHAR,80848
ASSAM,2527
KARNATAKA,115603
KERALA,868
HIMACHAL PRADESH,14939
GUJARAT,78476
HARYANA,279496
PUNJAB,188648
ANDHRA PRADESH,75567
JAMMU AND KASHMIR,56322
DELHI,3611
TRIPURA,430
PUDUCHERRY,368
MANIPUR,161
SIKKIM,55
CHANDIGARH,84
DAMAN AND DIU,4
A AND N ISLANDS,38
GOA,92
MEGHALAYA,7
DADRA AND NAGAR HAVELI,4
LAKSHADWEEP,2
MIZORAM,10
