State,Frequency
UTTARAKHAND,24865
ODISHA,183930
MAHARASHTRA,553665
JHARKAND,37334
TELANGANA,132342
WEST BENGAL,157118
NAGALAND,504
CHHATTISGARH,78785
RAJASTHAN,752948
UTTAR PRADESH,1183039
TAMILNADU,243195
ARUNACHAL PRADESH,129
DAMAN AND DIU,37
MADHYA PRADESH,491523
BIHAR,445728
ASSAM,18069
KARNATAKA,240896
KERALA,27741
HIMACHAL PRADESH,58878
GUJARAT,310006
HARYANA,458705
PUNJAB,422129
ANDHRA PRADESH,180081
JAMMU AND KASHMIR,85804
DELHI,16617
TRIPURA,2051
PUDUCHERRY,1703
MANIPUR,601
SIKKIM,361
MIZORAM,64
GOA,668
CHANDIGARH,222
MEGHALAYA,131
A AND N ISLANDS,107
DADRA AND NAGAR HAVELI,28
LAKSHADWEEP,10
