State,Frequency
UTTAR PRADESH,174452
RAJASTHAN,134962
MADHYA PRADESH,94186
MAHARASHTRA,93861
GUJARAT,80974
PUNJAB,74244
WEST BENGAL,55611
HARYANA,54690
ODISHA,54325
TAMILNADU,44550
ANDHRA PRADESH,41720
TELANGANA,41024
BIHAR,37573
KARNATAKA,27363
CHHATTISGARH,26758
HIMACHAL PRADESH,24715
JAMMU AND KASHMIR,17482
JHARKAND,12976
KERALA,7281
UTTARAKHAND,4827
ASSAM,4436
DELHI,2018
TRIPURA,717
PUDUCHERRY,314
GOA,195
SIKKIM,178
MANIPUR,153
CHANDIGARH,43
NAGALAND,38
MEGHALAYA,37
ARUNACHAL PRADESH,34
A AND N ISLANDS,13
MIZORAM,10
DAMAN AND DIU,6
LAKSHADWEEP,4
DADRA AND NAGAR HAVELI,3
