Crop,Count
Paddy (Dhan),196387
Cotton (Kapas),91322
Wheat,55419
Chillies,47524
Brinjal,38441
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),35742
Tomato,35565
Others,31478
Groundnut (pea nut/mung phalli),30932
Onion,28656
Maize (Makka),28072
Mango,27362
Cumin,25238
Potato,24046
Sugarcane (Noble Cane),23740
Apple,23367
Soybean (bhat),20533
Bhindi(Okra/Ladysfinger),18907
Mustard,14361
Green Gram (Moong Bean/ Moong),13523
Bottle Gourd,11230
Pigeon pea (red gram/arhar/tur),10933
Cucumber,10725
Citrus,10528
Total,1111773
